CASE_NO|ECLI|NAME
1/53|ECLI:EU:C:1954:1|Removed from the register on 7 May 1954, Verband Deutscher Reeder / ECSC High Authority (1/53)
2/53|ECLI:EU:C:1954:2|Removed from the register on 7 May 1954, Bunkerfirmen-Vereinigung / ECSC High Authority (2/53)
3/53|ECLI:EU:C:1953:2|Removed from the register on 5 November 1953, France / ECSC High Authority (3/53)
4/53|ECLI:EU:C:1953:1|Removed from the register on 30 October 1953, Belgium / ECSC High Authority (4/53)
1/54|ECLI:EU:C:1954:7|Judgment of 21 December 1954, France / ECSC High Authority (1/54, ECR 1954-1956 p. 1)          (FR1954/00007 NL1954/00007 DE1954/00007 IT1954/00007 EN1954-1956/00001 DA1954-1964/00001 EL1954-1964/00001 PT1954-1961/00001)
2/54|ECLI:EU:C:1954:8|Judgment of 21 December 1954, Italy / ECSC High Authority (2/54, ECR 1954-1956 p. 37)          (FR1954/00073 NL1954/00081 DE1954/00081 IT1954/00077 EN1954-1956/00037 DA1954-1964/00005 EL1954-1964/00005 PT1954-1961/00005)
3/54|ECLI:EU:C:1955:2|Judgment of 11 February 1955, Assider / ECSC High Authority (3/54, ECR 1954-1956 p. 63)          (FR1954/00123 NL1954/00133 DE1954/00133 IT1954/00127 EN1954-1956/00063 DA1954-1964/00009 EL1954-1964/00009 PT1954-1961/00011)
4/54|ECLI:EU:C:1955:3|Judgment of 11 February 1955, Isa / ECSC High Authority (4/54, ECR 1954-1956 p. 91)          (FR1954/00177 NL1954/00193 DE1954/00191 IT1954/00181 EN1954-1956/00091 DA1954-1964/00011 EL1954-1964/00011 PT1954-1961/00015)
5/54|ECLI:EU:C:1954:3|Removed from the register on 26 May 1954, Charbonnages de la Minerie / ECSC High Authority (5/54)
6/54|ECLI:EU:C:1955:5|Judgment of 21 March 1955, Netherlands / ECSC High Authority (6/54, ECR 1954-1956 p. 103)          (FR1954/00201 NL1954/00217 DE1954/00215 IT1954/00205 EN1954-1956/00103 DA1954-1964/00013 EL1954-1964/00013 PT1954-1961/00019)
7/54|ECLI:EU:C:1955:12|Order of 24 November 1955, Groupement des industries sidérurgiques Luxembourgeoises / ECSC High Authority (7-54 and 9-54, ECR 1954-1956 p. 222)          (FR1955/00145 NL1955/00153 DE1955/00143 IT1955/00141 EN1954-1956/00222)
7/54|ECLI:EU:C:1956:2|Judgment of 23 April 1956, Groupement des industries sidérurgiques Luxembourgeoises / ECSC High Authority (7-54 and 9-54, ECR 1954-1956 p. 175)          (FR1955/00053 NL1955/00057 DE1955/00055 IT1955/00053 EN1954-1956/00175 DA1954-1964/00021 EL1954-1964/00025 PT1954-1961/00033)
8/54|ECLI:EU:C:1955:13|Order of 24 November 1955, Association des utilisateurs de charbon du Grand-Duché de Luxembourg / ECSC High Authority (8-54 and 10-54, ECR 1954-1956 p. 241)          (FR1955/00193 NL1955/00203 DE1955/00191 IT1955/00189 EN1954-1956/00241)
8/54|ECLI:EU:C:1956:3|Judgment of 23 April 1956, Association des utilisateurs de charbon du Grand-Duché de Luxembourg / ECSC High Authority (8-54 and 10-54, ECR 1954-1956 p. 227)          (FR1955/00159 NL1955/00167 DE1955/00157 IT1955/00155 EN1954-1956/00227 DA1954-1964/00025 EL1954-1964/00031 PT1954-1961/00039)
9/54||Groupement des industries sidérurgiques Luxembourgeoises / ECSC High Authority (9/54) , see Case  7/54
10/54||Association des utilisateurs de uharbon du Grand-Duché de Luxembourg / ECSC High Authority (10/54) , see Case  8/54
1/55|ECLI:EU:C:1955:9|Judgment of 19 July 1955, Kergall / Common Assembly (1/55, ECR 1954-1956 p. 151)          (FR1955/00009 NL1955/00011 DE1955/00011 IT1955/00011 EN1954-1956/00151 DA1954-1964/00019 EL1954-1964/00021 PT1954-1961/00029)
2/55|ECLI:EU:C:1955:14|Removed from the register on 7 December 1955, Luxembourg / ECSC High Authority (2/55)
3/55|ECLI:EU:C:1955:4|Removed from the register on 15 March 1955, Luxembourg / ECSC High Authority (3/55)
4/55|ECLI:EU:C:1955:10|Removed from the register on 15 September 1955, Silfer / ECSC High Authority (4/55)
5/55|ECLI:EU:C:1955:8|Judgment of 28 June 1955, Assider / ECSC High Authority (5/55, ECR 1954-1956 p. 135)          (FR1954/00263 NL1954/00285 DE1954/00277 IT1954/00267 EN1954-1956/00135 DA1954-1964/00017 EL1954-1964/00017 PT1954-1961/00025)
6/55|ECLI:EU:C:1957:2|Removed from the register on 14 February 1957, Ruhrbergbau / ECSC High Authority (6/55)
7/55||Removed from the register   , Luxembourg / ECSC High Authority (7/55)
8/55|ECLI:EU:C:1956:7|Judgment of 16 July 1956, Fédération charbonnière de Belgique / ECSC High Authority (8/55, ECR 1954-1956 p. 245)          (FR1955/00201 NL1955/00211 DE1955/00199 IT1955/00197 EN1954-1956/00245 DA1954-1964/00027 EL1954-1964/00035 PT1954-1961/00043 ES1954-1960/00001)
8/55|ECLI:EU:C:1956:11|Judgment of 29 November 1956, Fédération charbonnière de Belgique / ECSC High Authority (8/55, ECR 1954-1956 p. 292)          (FR1955/00291 NL1955/00309 DE1955/00297 IT1955/00285 EN1954-1956/00292 DA1954-1964/00029 EL1954-1964/00085 PT1954-1961/00090 ES1954-1960/00057 SVI/00001 FII/00001)
9/55|ECLI:EU:C:1956:12|Judgment of 29 November 1956, Société des charbonnages de Beeringen / ECSC High Authority (9/55, ECR 1954-1956 p. 311)          (FR1955/00325 NL1955/00345 DE1955/00333 IT1955/00319 EN1954-1956/00311 DA1954-1964/00033 EL1954-1964/00107 PT1954-1961/00107)
10/55|ECLI:EU:C:1956:14|Judgment of 12 December 1956, Mirossevich / ECSC High Authority (10/55, ECR 1954-1956 p. 333)          (FR1955/00365 NL1955/00391 DE1955/00381 IT1955/00361 EN1954-1956/00333 DA1954-1964/00037 EL1954-1964/00111 PT1954-1961/00113)
11/55|ECLI:EU:C:1956:4|Removed from the register on 30 May 1956, Assider / ECSC High Authority (11/55)
12/55|ECLI:EU:C:1956:5|Removed from the register on 30 May 1956, ISA / ECSC High Authority (12/55)
1/56|ECLI:EU:C:1956:15|Judgment of 17 December 1956, Bourgaux / Common Assembly (1/56, ECR 1954-1956 p. 361)          (FR1955/00421 NL1955/00451 DE1955/00443 IT1955/00417 EN1954-1956/00361 DA1954-1964/00039 EL1954-1964/00115 PT1954-1961/00117)
2/56|ECLI:EU:C:1957:4|Judgment of 20 March 1957, Geitling Ruhrkohlen-Verkaufsgesellschaft and others / ECSC High Authority (2/56, ECR 1957-1958 p. 3)          (FR1957/00009 NL1957/00011 DE1957/00011 IT1957/00011 EN1957-1958/00003 DA1954-1964/00041 EL1954-1964/00119 PT1954-1961/00121 ES1954-1960/00083)
3/56|ECLI:EU:C:1957:5|Removed from the register on 22 March 1957, Italy / ECSC High Authority (3/56)
4/56|ECLI:EU:C:1956:13|Removed from the register on 7 December 1956, Ansaldo-Coke / ECSC High Authority (4/56)
5/56|ECLI:EU:C:1957:3|Removed from the register on 14 February 1957, France / ECSC High Authority (5/56)
6/56|ECLI:EU:C:1958:21|Removed from the register on 19 December 1958, Merlini / ECSC High Authority (6/56)
7/56|ECLI:EU:C:1957:7|Judgment of 12 July 1957, Algera and others / Common Assembly (7/56, 3/57 to 7/57, ECR 1957-1958 p. 39)          (FR1957/00081 NL1957/00087 DE1957/00085 IT1957/00081 EN1957-1958/00039 DA1954-1964/00045 EL1954-1964/00157 PT1954-1961/00157)
